
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName                                                                        PSComputerName
     14     5.29       8.19     106.91      68   0 svchost                                                                            172.16.2.77
     26    23.07      31.66     452.98     460   0 svchost                                                                            172.16.2.77
     23    20.60      20.14     328.17     740   0 svchost                                                                            172.16.2.77
     15     6.17       3.46       0.92     936   0 svchost                                                                            172.16.2.77
     13     2.23       4.88       4.81    1036   0 svchost                                                                            172.16.2.77
     15     4.52       8.64      14.73    1140   0 svchost                                                                            172.16.2.77
     37    17.96      22.41     484.95    1148   0 svchost                                                                            172.16.2.77
     13     2.47       5.61       2.80    1188   0 svchost                                                                            172.16.2.77
      7     1.31       0.76       0.00    1196   0 svchost                                                                            172.16.2.77
     11     2.51       4.55       0.62    1344   0 svchost                                                                            172.16.2.77
     14     3.63       6.03       0.83    1368   0 svchost                                                                            172.16.2.77
    196    45.73      24.47   2,686.88    1400   0 svchost                                                                            172.16.2.77
     10     2.28       4.58       1.34    1408   0 svchost                                                                            172.16.2.77
     10     2.42       5.04       0.39    1420   0 svchost                                                                            172.16.2.77
      7     2.19       2.59       2.69    1488   0 svchost                                                                            172.16.2.77
     10     1.73       2.46       0.09    1512   0 svchost                                                                            172.16.2.77
     19     7.86      10.82      63.47    1600   0 svchost                                                                            172.16.2.77
     25     5.35       5.98       7.19    1672   0 svchost                                                                            172.16.2.77
     15     2.63       6.00       1.98    1704   0 svchost                                                                            172.16.2.77
     13     2.01       4.68       1.11    1796   0 svchost                                                                            172.16.2.77
     15     4.56       7.83     130.91    1800   0 svchost                                                                            172.16.2.77
     10     2.78       4.24     277.33    1816   0 svchost                                                                            172.16.2.77
     45     5.50       7.25       1.92    1976   0 svchost                                                                            172.16.2.77
     11    11.23      17.08     165.66    1984   0 svchost                                                                            172.16.2.77
     13     2.76       6.82       5.62    1996   0 svchost                                                                            172.16.2.77
     11     3.16       6.54      15.20    2004   0 svchost                                                                            172.16.2.77
     16     4.88       8.68       7.48    2088   0 svchost                                                                            172.16.2.77
      8     1.50       3.80       0.05    2172   0 svchost                                                                            172.16.2.77
     15   157.67     150.86  22,707.66    2220   0 svchost                                                                            172.16.2.77
      7     1.37       1.85       0.61    2232   0 svchost                                                                            172.16.2.77
     17    54.00      38.82     388.61    2340   0 svchost                                                                            172.16.2.77
     10     2.08       5.07       0.97    2428   0 svchost                                                                            172.16.2.77
     11     2.14       4.22       1.38    2444   0 svchost                                                                            172.16.2.77
     13     2.83       7.52       6.00    2512   0 svchost                                                                            172.16.2.77
     16     3.50       5.71      41.69    2568   0 svchost                                                                            172.16.2.77
     15     4.40       7.44      25.56    2636   0 svchost                                                                            172.16.2.77
     12     2.82       6.09       4.17    2796   0 svchost                                                                            172.16.2.77
     15     3.66       4.99   1,709.80    2816   0 svchost                                                                            172.16.2.77
     14     4.07       9.01       4.34    2892   0 svchost                                                                            172.16.2.77
     11     2.05       2.95       2.94    3040   0 svchost                                                                            172.16.2.77
     34    14.40      16.41      30.62    3144   0 svchost                                                                            172.16.2.77
      9     1.63       1.22       0.12    3188   0 svchost                                                                            172.16.2.77
     25     3.66       8.26       7.45    3216   0 svchost                                                                            172.16.2.77
     14     2.22       4.12       0.44    3304   0 svchost                                                                            172.16.2.77
     10     2.71       4.39     444.22    3496   0 svchost                                                                            172.16.2.77
     26     8.44      16.28      84.70    3768   0 svchost                                                                            172.16.2.77
     16     2.84       4.42       2.72    3808   0 svchost                                                                            172.16.2.77
     17     2.96       6.77       0.80    3816   0 svchost                                                                            172.16.2.77
     24    47.59      47.90     173.61    3852   0 svchost                                                                            172.16.2.77
     21    53.11      56.34   1,704.92    3960   0 svchost                                                                            172.16.2.77
     14     2.73       3.17       1.88    4252   0 svchost                                                                            172.16.2.77
     12     2.13       2.90       0.81    4260   0 svchost                                                                            172.16.2.77
     31    11.19      15.56      18.39    4284   0 svchost                                                                            172.16.2.77
      8     1.55       1.99       0.45    4360   0 svchost                                                                            172.16.2.77
     13     3.05       5.27       5.77    4576   0 svchost                                                                            172.16.2.77
      9     1.59       0.92       0.02    4608   0 svchost                                                                            172.16.2.77
     10     1.90       2.27       0.11    4712   0 svchost                                                                            172.16.2.77
     17     4.97      11.52      13.86    4836   0 svchost                                                                            172.16.2.77
     11     1.24       1.11       0.03    4840   0 svchost                                                                            172.16.2.77
     11     3.24      10.56       4.39    4892   0 svchost                                                                            172.16.2.77
     26     3.70       6.09       4.22    5212   0 svchost                                                                            172.16.2.77
     10     1.57       2.23       0.06    5248   0 svchost                                                                            172.16.2.77
     18     2.79       4.29      90.33    5596   0 svchost                                                                            172.16.2.77
     12     2.64       5.47       3.28    7028   0 svchost                                                                            172.16.2.77
     21     6.92      15.27       3.77    7816   0 svchost                                                                            172.16.2.77
     13     2.62       5.75       1.19    8244   0 svchost                                                                            172.16.2.77
     13     3.54      10.73       2.31    8328   0 svchost                                                                            172.16.2.77
      9     1.89       3.91       0.73   10504   0 svchost                                                                            172.16.2.77
     14     3.32      11.75       1.80   10568   0 svchost                                                                            172.16.2.77
     14     5.77      11.86       3.28   10928   0 svchost                                                                            172.16.2.77
     12     3.06       7.78       4.67   11520   0 svchost                                                                            172.16.2.77
     13     5.69       7.57       9.22   11856   0 svchost                                                                            172.16.2.77
      8     1.64       7.48       0.05   17644   0 svchost                                                                            172.16.2.77
      8     1.42       6.99       0.03   33568   0 svchost                                                                            172.16.2.77
